##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	patagonia1_E1_L1_P1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	156508
Sequences flagged as poor quality	0
Sequence length	101
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	100-101	-1.7783855790664305
1107	1	0.08805884046984858
1107	2	-0.14306312797904752
1107	3	0.11362593247127961
1107	4	0.023197792407913198
1107	5	-0.13317935094118383
1107	6	0.3242201281891752
1107	7	0.2663815956556519
1107	8	-0.17268061811956414
1107	9	0.11873163717125124
1107	10-11	0.13961593522763138
1107	12-13	0.10085585520059226
1107	14-15	0.4024851417704767
1107	16-17	0.3404788128514369
1107	18-19	0.3339308859758603
1107	20-21	0.3377411996542037
1107	22-23	0.06815664849223424
1107	24-25	0.3110459419894056
1107	26-27	0.32853184284977033
1107	28-29	0.3331854085141117
1107	30-31	0.6007689779078333
1107	32-33	0.21865538925778338
1107	34-35	0.8792869891080883
1107	36-37	0.8251154026721537
1107	38-39	0.5974387335817184
1107	40-41	0.7071095903155324
1107	42-43	0.927917100296419
1107	44-45	1.1456646576934517
1107	46-47	1.1368586881237661
1107	48-49	1.0077563214288219
1107	50-51	1.171259841757518
1107	52-53	1.2127109080901164
1107	54-55	1.593800897457868
1107	56-57	1.5407426428934485
1107	58-59	1.5773408651942589
1107	60-61	1.5258810595014722
1107	62-63	1.6720673070070475
1107	64-65	1.4744116322732097
1107	66-67	1.5378393269105857
1107	68-69	1.6407735234833183
1107	70-71	1.4379683624106292
1107	72-73	1.4723852524914633
1107	74-75	1.3216212754158363
1107	76-77	1.2239667401575574
1107	78-79	1.0759201647703023
1107	80-81	1.2717315636999942
1107	82-83	1.1053193365856941
1107	84-85	1.2473629641993043
1107	86-87	1.4179359404886611
1107	88-89	1.5254185628331633
1107	90-91	1.5256992356685863
1107	92-93	1.3160721516131524
1107	94-95	1.2130464368939577
1107	96-97	1.3095646928078892
1107	98-99	1.1843574800557342
1107	100-101	0.9899071038603999
1108	1	0.23344156788203207
1108	2	0.269270051956525
1108	3	0.23396647549935068
1108	4	0.17736254160256948
1108	5	0.10163427077993958
1108	6	0.3009420180495823
1108	7	0.1659444120385345
1108	8	0.4550613668474526
1108	9	0.47913967521389367
1108	10-11	0.4807725543409944
1108	12-13	0.5040426936727513
1108	14-15	0.6717940848599113
1108	16-17	0.48881444715117794
1108	18-19	0.6074774421961422
1108	20-21	0.724763749124989
1108	22-23	0.6437050454856319
1108	24-25	0.5316702708742014
1108	26-27	0.9329573682370977
1108	28-29	0.6603828314317397
1108	30-31	0.8718036458016769
1108	32-33	0.9255697933074885
1108	34-35	1.1205816662058012
1108	36-37	1.097894970090472
1108	38-39	1.1975499469580058
1108	40-41	1.7336857523035718
1108	42-43	1.372732255995146
1108	44-45	1.3436244674802253
1108	46-47	1.2085913158273982
1108	48-49	1.5644559686139772
1108	50-51	1.8070168597050582
1108	52-53	1.5134088678998978
1108	54-55	1.466864250732904
1108	56-57	1.2979139881918087
1108	58-59	1.1316053229331757
1108	60-61	1.3034351322120088
1108	62-63	1.5835951487005602
1108	64-65	1.34820362491012
1108	66-67	1.2721160564703382
1108	68-69	1.406343396163173
1108	70-71	1.0287223124029623
1108	72-73	1.3983900078220302
1108	74-75	1.5338470769191375
1108	76-77	1.2778860529355924
1108	78-79	1.3305412723021348
1108	80-81	1.448407434232287
1108	82-83	1.3830459817766751
1108	84-85	1.344463746527886
1108	86-87	1.4780678625625967
1108	88-89	1.3069801520339617
1108	90-91	1.5358426625745558
1108	92-93	1.2969166062841175
1108	94-95	1.7026920880674474
1108	96-97	1.5844726541516607
1108	98-99	1.2150370321342798
1108	100-101	1.096614420933573
1109	1	0.08408482706187215
1109	2	-0.07567768323510649
1109	3	0.1333232163195106
1109	4	-0.10151711532586205
1109	5	-0.018105745301539855
1109	6	-0.03160957669713582
1109	7	0.012701313673488812
1109	8	-0.079446807904624
1109	9	-0.09175284689813878
1109	10-11	0.21087172346455674
1109	12-13	0.0913182230214531
1109	14-15	0.14241188169721397
1109	16-17	-0.08422227222700229
1109	18-19	0.1699941937372813
1109	20-21	0.15735554757044667
1109	22-23	-0.20110867737686533
1109	24-25	0.25466678655364916
1109	26-27	0.18061215247725215
1109	28-29	0.37734879230013973
1109	30-31	0.3863104804304669
1109	32-33	0.6988544354945745
1109	34-35	0.8503458045065244
1109	36-37	0.9547027964104942
1109	38-39	0.9261414773788061
